Year,Safety,Sliding,Ergonomics,Cutting,Visual,Durability,Dust,Electronic,Portable
2015,【SawStop】 〖vs. Bosch (專利戰)〗 «**CPSC 提案 (AIM)**針對鋸台的 Active Injury Mitigation: 雖然主要針對圓鋸機（Table Saw），但 CPSC 與 UL 討論引入「主動傷害緩解（如急停煞車）」技術，對斜切鋸市場產生了寒蟬效應，促使廠商加速導入電子煞車（E-Brake）。»,"【Delta】 〖(研發階段)〗 «機械臂: 傳出 Delta 正在研發代號 ""Cruzer"" 的機械臂鋸，使用軍規鋁材以解決剛性問題，準備挑戰 Bosch。»",,,,,,【Makita】 〖XSL02Z (36V)〗 «無刷馬達革命: 軟體控制煞車。隨著無線工具導入無刷馬達 (Brushless)，軟啟動與電子煞車不再需要額外的控制器，而是由馬達驅動器 (Controller) 直接透過軟體邏輯控制，反應速度更快。»,"【Makita】 〖XSL02Z (X2 LXT)〗 «無線突破: 使用雙 18V 電池（36V），首次讓無線鋸達到接近有線鋸的扭力，解決了便攜鋸「不夠力」的問題,。»<br>【DeWalt】 〖DCS361〗 «便攜設計: 推出 20V Max 7.25 吋鋸，極度輕便，專攻「最後修整（Punch List）」市場,。»"
2016,【制動時間】 〖(Brake Time) 規範〗 «UL 62841-3-9北美採納 IEC 標準: 北美正式採納 IEC 標準。新標準對 「手把施力測試 (Handle Force Test)」 和 「制動時間」 有更嚴格要求。這迫使廠商在無線鋸上全面導入電子煞車系統。»,,,【DeWalt】 〖DHS790〗 «Hybrid Voltage (120V): 機構設計。DeWalt 推出 FlexVolt 系統，讓 12 吋大鋸片機型可同時使用兩顆 60V 電池或插電（AC/DC 轉換器），解決了大尺寸鋸片高耗能的機構難題。»,【MetaboHPT - Hitachi】 〖-〗 «雷射瑕疵: C10FCH 等型號被報告雷射模組因振動導致線路故障（見下方瑕疵分析）。»,【Delta】 〖Cruzer〗 «Military-Grade Aluminum (軍規鋁材): 結構剛性。為了擺脫 2005 年鑄件斷裂的陰影，Delta 在新一代機械臂鋸使用重型鋁材連桿，強調結構的物理強度。»,,【IEC】 〖〗/〖UL 62841-3-9〗 «安規警告標示: 安規轉折點。新版安規強制要求針對具備煞車系統的鋸台，必須在說明書中加入警告：「煞車動作可能會導致機頭突然被向下拉扯 (The braking action... cause the saw head to be suddenly pulled downward)」。»,"【DeWalt】 〖FlexVolt (DHS790)〗 «無線設計: 推出 60V/120V 混合電壓系統，讓無線鋸也能擁有 12 吋大鋸片的切削能力，打破了無線便攜的性能天花板。»<br>【MetaboHPT - Hitachi】 〖-〗 «瑕疵報告: 部分型號（如 C10FCH）因雷射模組線路抗震不足，在搬運或使用震動後容易失效,。»"
2017,,【Delta】 〖26-2250 (Cruzer)〗 «機械臂: 正式推出。採用與 Bosch 類似但結構不同的鋁製連桿機械臂設計。»<br>【Makita】 〖LS1019L〗 «Rail-Forward: 設計普及化。Makita 推出前置導軌設計（Rail-Forward），將導軌固定於前方，機頭在導軌上滑動，成為後續業界主流模板。»,"【Makita】 〖LS1019L〗 «Rail-Forward + Front Bevel (前導軌+前控制): 設計集大成。結合了 Hitachi 的零靠牆概念與 Bosch 的前置控制鎖定，將斜切鎖定旋鈕移至前方，成為現代人體工學設計的模板。,»<br>【Delta】 〖Cruzer〗 «Robotic Arm (鋁製機械臂): 推出與 Bosch 類似但採用軍規鋁材的機械臂設計，提供另一種節省空間且操作滑順的選擇。,»",【Makita】 〖LS1019L〗 «Rail-Forward + Direct Drive: 機構設計。結合了 Hitachi 的前置導軌概念與 Makita 的直驅馬達（DXT），成為現代緊湊型高容量鋸的設計模板。»,【Festool】 〖KS 60〗 «歐洲跟進: Kapex 轉向。Festool 在新款緊湊型 Kapex 上放棄了著名的雙雷射，改用 LED 陰影線，證實了陰影線在便攜與耐用性上的優勢。»,,【Makita】 〖LS1019L〗 «Dual Dust Ports (雙集塵口): 多點收集。在 Rail-Forward 機型上引入雙集塵口設計（一個在鋸片後方，一個在底座），試圖解決滑動鋸在切削寬板時，粉塵容易從底座飛散的問題。»<br>【Makita】 〖XSL06〗 «AWS (藍牙連動集塵): 無線整合。推出 Auto-Start Wireless System (AWS)，透過藍牙讓無線工具能自動啟動無線集塵機。解決了無線工具使用者為了省電而不開集塵機，或嫌開關麻煩的痛點。»,,"【Delta】 〖Cruzer (26-2250)〗 «設計突破: 推出類似 Bosch 的「機械手臂」設計，使用軍規鋁材，強調可貼牆放置的便攜性,。»<br>【Makita】 〖LS1019L〗 «便攜設計: 採用「導軌前置（Rail-Forward）」設計，將滑軌固定在前方，縮小機身深度,。»"
2018,【Bosch】 〖瑕疵 (護罩卡住)〗 «IEC 62841 強制執行鋰電池與電子安全: Bosch 機械臂鋸被報告因木屑堆積導致護罩卡死。這反映了新安規對於複雜機構（非傳統滑軌）在惡劣環境下的可靠度測試仍有不足。»,【Makita】 〖LS1219L〗 «Rail-Forward: Makita 將前置導軌設計擴展至 12 吋機型。»,,,【Kobalt】 〖〗/〖Metabo HPT〗 «全面滲透: Kobalt (24V Brushless) 和 Metabo HPT (MultiVolt) 在其新款無線鋸上全面導入陰影線系統。»,"【Makita】 〖LS1219L〗 «⚠️ 瑕疵：定位板磨損: 材質選擇失誤。Makita 在新款前置導軌鋸上使用了鋁製定位板（而非鋼板），導致長期使用後常用的角度（如 0°, 45°）產生間隙（Slop），精度喪失。»",【Bosch】 〖GCM12SD〗 «⚠️ 瑕疵：集塵導致護罩失效: 設計缺陷。Bosch 的機械臂（Glide）機型被發現若集塵不良，積聚的木屑會導致下護罩的連動機構卡死（Sticking），造成安全隱患（詳見後文）。»,,"【MetaboHPT - Hitachi】 〖MultiVolt〗 «便攜設計: 推出 AC/DC 雙模介面，讓機器可插電也可裝電池，解決了無線便攜的續航焦慮,。»"
2019,【Milwaukee】 〖瑕疵 (煞車失效)〗 «電子煞車規範強化: 為了符合更嚴格的鋸片停止時間要求，Milwaukee 在 12 吋無線鋸上使用了強力電子煞車，但導致了部分機型煞車模組過熱失效的案例。»,,,"【Milwaukee】 〖2739-20〗 «12"" Single Battery Power: 機構設計。透過高輸出電池技術，證明單顆 18V 電池即可驅動 12 吋鋸片進行重型切削，簡化了無線大鋸的電源機構。»",,【Milwaukee】 〖2739-20〗 «⚠️ 瑕疵：電子煞車失效: 電子元件耐久度。多起報告指出高負載使用後，電子煞車模組會失效，導致鋸片停轉時間過長。顯示電子控制在耐久度上的潛在弱點。»,【Milwaukee】 〖2739-20〗 «Full Shroud Enclosure (全包覆護罩): 氣流優化。在 12 吋無線鋸上使用了更封閉的橡膠裙邊設計，以利用鋸片旋轉產生的氣流將粉塵導入集塵口，減少對大功率吸塵器的依賴。»,【Milwaukee】 〖2739-20〗 «電子煞車瑕疵: 技術缺陷。這款 12 吋 M18 FUEL 旗艦機型被大量用戶報告「電子煞車失效」，導致鋸片在放開板機後仍自由旋轉很久，引發安全疑慮（詳見後文）。»,"【Milwaukee】 〖2739-20〗 «無線設計: 推出 12 吋 M18 FUEL 鋸，僅用單顆電池即可驅動，優化了重量與攜帶性,。»<br>【Milwaukee】 〖-〗 «瑕疵報告: 2739-20 型號在論壇上出現多起電子煞車失效的報告，導致刀片停止時間過長,,。»"
2020,【Makita】 〖XGT (40V) 推出〗 «**IEC 62841-3-9 (第 2 版)**鋸片尺寸放寬至 410mm: 新版標準將適用範圍擴大到 410mm（約 16 吋）鋸片，並增加了對 Kerf Plate (鋸縫板) 下方防護的規定，防止鋸片切穿底座傷及下方人員。»,,,【IEC】 〖62841-3-9 Ed. 2〗 «410mm Max Blade Size: 安規更新。國際標準將可攜式斜切鋸的鋸片尺寸上限從 360mm 放寬至 410mm，預示未來可能出現更大規格的工業用可攜式鋸台。»,,,,,
2021,,【Bosch】 〖GCM18V-12SD〗 «機械臂: 機械臂無線化。成功將 Axial-Glide 系統移植到 18V BITURBO 無線平台。»<br>【Delta】 〖Cruzer Gen 2〗 «機械臂: 推出第二代 Cruzer (26-2251)，增加擺臂張力調節功能，解決第一代的剛性公差問題。»,【Delta】 〖Cruzer Gen 2〗 «張力調節功能: 張力調節功能來修正完全伸展時剛性不足，導致精準度下降。»,,,【Makita】 〖GSL 系列〗 «XGT Heavy Duty (重載耐久): 系統耐久度。推出 40V Max XGT 平台，專為連續重載設計，解決了 18V 電池在高強度切削下易過熱（影響電池壽命）的問題。»,【Delta】 〖Cruzer 2 (26-2251)〗 «Redesigned Chute (改良導管): 修正設計。針對第一代 Cruzer 集塵效率不佳的投訴，第二代機型重新設計了集塵導管（Chute）的幾何形狀，增加了「吸力漏斗」的範圍。»,,"【Makita】 〖XGT (40V Max)〗 «無線設計: 推出 GSL 系列，針對高負載便攜需求，無需像 LXT 系列需攜帶兩顆電池,。»<br>【UL】 〖62841-3-9 強制實施〗 «安規更新: 北美市場強制執行新標準，要求更嚴格的電池安全性（附錄 K）與護罩測試,。»"
2022,【DeWalt】 〖重大召回 (後護罩)〗 «安規：拋射物防護: DeWalt 12 吋鋸台因後方塑膠護罩破裂，碎片飛出傷人而召回 140 萬台。這直接觸犯了安規中關於「防護裝置必須能承受拋射物衝擊」的核心要求。»,,,【Ridgid】 〖R4251〗 «8-Bearing Slide System: 機構設計。在滑動機構中引入 8 軸承設計，試圖解決大尺寸（12吋）滑動鋸在完全伸展時的「機頭晃動（Head Wobble）」與精度偏差問題。»,,【DeWalt】 〖DWS779〗/〖DWS780〗 «🚨 召回：後護罩破裂: 材質疲勞。旗艦機型的塑膠後護罩（Rear Guard）在長期震動或衝擊下會碎裂，碎片可能飛出傷人。這是因為在關鍵防護部位使用了耐久度不足的塑膠材質。»,【DeWalt】 〖DWS779〗/〖DWS780〗 «🚨 召回：後護罩破裂: 材質安全。其負責導流粉塵的塑膠後護罩組件（Rear Guard/Dust Chute assembly）因強度不足而破裂。雖然這是集塵路徑的一部分，但其破裂會產生拋射物風險。»,,"【Festool】 〖KSC 60〗 «便攜設計: 終於推出雙電池無線版 Kapex，具備藍牙連動集塵，實現完全無線化的便攜工作站,。»"
2023,【藍牙連線/網路安全】 〖-〗 «EU 2023/1230歐盟機械法規發布: 新法規強調具備連網功能（如藍牙集塵連動）的工具，必須具備防駭客與軟體更新的安全性，防止意外啟動。»,【Metabo】 〖KGS M 系列〗 «Rail-Forward: 歐洲 Metabo 更新 KGS 系列，雖然定位較低階，但也開始導入緊湊型設計與陰影線（Shadow Line）技術。»,,,【Metabo】 〖KGS M〗 «雷射淘汰: 歐洲 Metabo 更新其經典 KGS 系列，導入 PCL (Precision Cut Line) 陰影線系統，正式承認雷射已過時。»,【DeWalt】 〖DCS781〗 «Regenerative Braking (回充煞車): 煞車壽命優化。利用馬達回充技術進行煞車，減少了傳統機械煞車或電阻煞車產生的熱能與磨損，延長組件壽命。»,【DeWalt】 〖DCS781〗 «Ultra-Efficient Extraction (超高效集塵): 旗艦升級。在 60V 新款旗艦機上，特別強調「通過鋸片護罩直接進行氣流導引」，宣稱能捕獲 99% 的粉塵，將集塵能力作為核心安全功能行銷。»,【DeWalt】 〖DCS781〗 «再生煞車 (Regen): 能源回收。DeWalt 在其 60V 旗艦機引入 Regenerative Braking (回充煞車)。除了快速停止鋸片（安全），還能將煞車產生的能量回充至電池，延長續航力並減少馬達發熱。»,"【DeWalt】 〖DCS781〗 «便攜設計: 重新設計的 60V 旗艦無線鋸，改進了集塵與安全性（針對 2022 召回後的改款），並增加了煞車回充功能,。»<br>【歐盟機械法規】 〖(EU) 2023/1230 發布〗 «新規範: 取代舊有的機械指令。»"
2024,,,,,【全行業】 〖-〗 «業界標準: 到 2024 年，專業級市場幾乎找不到配備紅光雷射的新款旗艦機，LED 陰影線成為絕對主流。»,,,,
2025,,,,,,【DeWalt】 〖New XR Series〗 «Serviceability (易維修設計): 維護耐久度。新設計強調碳刷與開關的易更換性（Serviceability），承認工具是長期資產，需考量零件更換的便利性以延長總壽命。»,,,
2027,【軟體定義安全】 〖-〗 «EU 2023/1230強制執行: 所有銷往歐盟的電動工具需符合新的數位安全標準。廠商需證明其軟體（如電子煞車邏輯）不會因更新或攻擊而失效。»,,,,,,,,"【EU】 〖2023/1230 生效〗 «強制實施: 所有在歐盟銷售的機械（含電動工具）必須符合新規範，特別是涉及無線連線與軟體安全的部分,,。»"
