Image,Blade Range,Total,Update Date,Image URL,Released Year,Model #,Brand,Type,Bevel,Slide,Blade Diameter,Watt,RPM,Power Supply,Soft Start,Laser,Others,Key Innovation/Significance,REF URL,Price,Price Range
,Ø222~267mm,"Dual
Rail-Front
Corded
Soft Start
Dual laser
E Brake, Speed Ctrl, ",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Festool KS 120,Festool,1.Benchtop,Dual,Rail-Front,260,1600,1400-3400,Corded,Soft Start,Dual laser,"E Brake, Speed Ctrl, ",good,https://www.festool.com/products/semi-stationary-products/sliding-compound-mitre-saws/575313---ks-120-reb-gb-240v,,
,,Corded,2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Festool CT Series,Festool,,,,,,,Corded,,,,good,https://www.manualslib.com/manual/240562/Festool-Ct-22-E.html,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,C12RSH,MetaboHPT,1.Benchtop,Dual,Rail,305,1800,3800,Corded,Soft Start,Laser,E Brake,good,https://www.manualslib.com/manual/420343/Hitachi-C12rsh-305mm-Slide-Compound-Mitre-Saw.html,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,C10FSH,MetaboHPT,1.Benchtop,Dual,Rail,254,1450,3800,Corded,Soft Start,Laser,,good,https://www.manualslib.com/manual/105436/Hitachi-C10fsh.html,,
,Ø222~267mm,"Single
Compound
Corded
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,C10FCE2,MetaboHPT,1.Benchtop,Single,Compound,254,1800,5000,Corded,,-,E Brake,good,https://www.metabo-hpt.com/us/main-navigation/item/c10fce2-10-compound-miter-saw-hitachi,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Makita LS1013,Makita,1.Benchtop,Dual,Rail,254,1560,2700,Corded,Soft Start,-,E Brake,good,https://www.manualslib.com/manual/98553/Makita-Ls1013.html,,
,Ø279~333mm,"Single
Rail
Corded
Soft Start
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Makita LS1214,Makita,1.Benchtop,Single,Rail,305,1800,3200,Corded,Soft Start,-,E Brake,good,https://www.makita.ca/index2.php?event=tool&id=184,,
,Ø222~267mm,"Single
Compound
Corded
-
-
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Makita LS1040,Makita,1.Benchtop,Single,Compound,254,1800,4600,Corded,-,-,-,good,https://www.manualslib.com/manual/98514/Makita-Ls1040.html,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
-
Speed Ctrl",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,KGS 315 Plus,Metabo,1.Benchtop,Dual,Rail,315,1600,3100-4100,Corded,Soft Start,-,Speed Ctrl,good,https://www.metabo.com/com/en/tools/cutting-sanding-milling/wood-processing/mitre-saws/kgs-315-plus-0103150000-crosscut-and-mitre-saw.html,,
,Ø222~267mm,"Single
Rail
Corded
-
Laser
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,KGS 254 M,Metabo,1.Benchtop,Single,Rail,254,1450,4500,Corded,-,Laser,-,good,https://www.metabo.com/com/en/tools/cutting-sanding-milling/wood-processing/mitre-saws/kgs-254-m-613254000-sliding-mitre-saw.html,,
,Ø191~222mm,"Single
Rail
Corded
-
Laser
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,KGS 216 M,Metabo,1.Benchtop,Single,Rail,216,1200,5000,Corded,-,Laser,-,good,https://www.metabo.com/com/en/tools/cutting-sanding-milling/wood-processing/mitre-saws/kgs-216-m-613216000-sliding-mitre-saw.html,,
,Ø222~267mm,"Single
Compound
Corded
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Milwaukee 6490,Milwaukee,1.Benchtop,Single,Compound,254,1800,4800,Corded,,-,E Brake,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHz-So6EVAD-5M-9v4BmcQ4TffFey6yumU4aGgihS_AOM_gEhPhUKR5SQ_2cGFuMLHxjUFeL-yRFZ2SaDqKHOcg2-_vt1l-XCz5GjOQvmAc902duh3VvvSKWu4zHyvclOlIz0ktAirBu-3Ae9Ifb5ayE8qEj12DxMcC6yEO,,
,Ø222~267mm,"Single
Compound
Corded
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Milwaukee 6494,Milwaukee,1.Benchtop,Single,Compound,254,1800,5500,Corded,,-,E Brake,good,https://www.manualslib.com/manual/1218177/Milwaukee-6494-20.html,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,MS1290LZ,Ridgid,1.Benchtop,Dual,Rail,305,1800,4000,Corded,Soft Start,Laser,,good,https://www.manualslib.com/manual/140232/Ridgid-Ms1290lza.html,,
,Ø222~267mm,"Single
Compound
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,MS1065LZA,Ridgid,1.Benchtop,Single,Compound,254,1800,,Corded,Soft Start,Laser,,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHpAPMlTGBMmp3U_3Axk3HQTYYyziz_pcqyNUofG9MELLSuF6RhZFOMWQL7NEJzryhkFutjgV5eSAOISHTu8-gCdrlf2lJ21nzGxevb9r1Kr8PmVEa2UNeFQkXc-VOL9biiPHCXOP9CZKUXH_cfQS4knky28rJ1bmxvl7drWCgWW4I9Xbl3NYH9Z4SYKBaT3zjzA-ETEQ==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFOSss-UzLjZcwSVCQ5tFoVlbSuWXU_wT8ElusS9bIUXpE9_U8iMPAVP6K0kiQkVktKOjZw9EY5XPDPRQMy4jrnriCdQeko6GSGSetVsMlq-MYGfwkiXF_GBoZczDNZ55QWnnHr74gsZULv1-lmwmHb",,
,Ø279~333mm,"Dual
Rail
Corded
-
Speed Ctrl",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Capas 3,Scheppach,1.Benchtop,Dual,Rail,305,1800,5000,Corded,,-,Speed Ctrl,good,https://www.ukworkshop.co.uk/threads/scheppach-capas-3.13606/,,
,Ø191~222mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Capas 2,Scheppach,3.Multi Function,Single,Compound,216,,,Corded,,-,,good,https://www.manualsnet.com/scheppach/capas-2-saw,,
,Ø222~267mm,"Single
Rail
Corded
Soft Start
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,KGZ 251,Scheppach,1.Benchtop,Single,Rail,254,1800,5000,Corded,Soft Start,-,,good,https://www.manualslib.com/manual/581534/Scheppach-Kgz-251.html,,
,Ø222~267mm,"Dual
Rail
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Capas 5,Scheppach,1.Benchtop,Dual,Rail,255,2000,4200,Corded,,-,,good,https://www.manualslib.com/manual/581513/Scheppach-Capas-5.html,,
,Ø222~267mm,"Single
Rail
Corded
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,Bosch 4405,Bosch,1.Benchtop,Single,Rail,254,,4700,Corded,,-,E Brake,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFOKCpbmIY1yrHA-xMSnx4-_tHCrU6JTYpukzNlQWeScAXvnCkuVRcaWpEM2UzbGxk93k4sB2qrj78isEzAxtEECmff2jIgQfS2-q9DiEBaZ2zS0qlHIJ6G8e3MXViKc_XzH1kZH_mE2kD1U_WLSwGDOHGXlTOiud9WcUPHDwZTp81FsEQ2BeoQ,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,GCM 10 SD,Bosch,1.Benchtop,Dual,Rail,254,1800,4600,Corded,Soft Start,-,,good,https://www.manualslib.com/manual/356515/Bosch-Gcm-10-Sd.html,,
,Ø222~267mm,"Dual
Rail
Corded
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,DeWalt DW717,DeWalt,1.Benchtop,Dual,Rail,254,,4000,Corded,,-,E Brake,good,https://www.manualslib.com/manual/38027/Dewalt-Dw717.html,,
,Ø279~333mm,"Dual
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,DeWalt DW716 (NA),DeWalt,1.Benchtop,Dual,Compound,305,,3800,Corded,,-,,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFAkvNVuEuOEb0a2Vfqo8ZKvURmqSHqQyeqaa4o4gjQOYcusHBUu5Mq8CTJumrIXN-sYmzkYgfd04POlIesYqMNAacNLwI7JEDl1cgfYxLhLNbJNZ-umuT_ufeYSjF7TRiED5W9GwP6Qld576Hr-QXdSzivPwUzqoUxpPmquA==,,
,Ø191~222mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,KGS 210/2,Einhell,1.Benchtop,Single,Compound,210,1200,5000,Corded,,-,,good,https://www.manualslib.com/products/Einhell-Kgs-210-2-Profi-365287.html,,
,Ø191~222mm,"Dual
Rail
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,TC-SM 2131,Einhell,1.Benchtop,Dual,Rail,210,1500,4900,Corded,,Laser,,good,https://www.manualslib.com/manual/1203004/Einhell-Tc-Sm-2131-Dual.html,,
,Ø222~267mm,"Dual
Rail-Front
Corded
Soft Start
Dual laser
E Brake, Speed Ctrl, ",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,Festool Kapex KS 120,Festool,1.Benchtop,Dual,Rail-Front,260,1600,1400-3400,Corded,Soft Start,Dual laser,"E Brake, Speed Ctrl, ",good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGSZ-twEt1kQnt8-FGoEclQ8B21piLT9zgXbrL6Yaa62jslEVpcktvTIlkPeBQJ6txnkjernXKE5FOO8xn_LEzrM763w_BxxOq93TFGpd4Ca7UIPMx5GrBnOI40VMiUjUQR8WqsGYzRr-L-Qk__tx1y8wZATl4056Es8d8LdWirg5dV8qCKmVTACw==,,
,Ø279~333mm,"Dual
Compound
Corded
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,C12FDH,MetaboHPT,1.Benchtop,Dual,Compound,305,1950,4000,Corded,,Laser,E Brake,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGaK8Z7oBESWprCcpsrZj0bMrt5f7rHyaJ1MKuSSOSCU0dQ9i3c7fCe_1B7qsqWCZsK9JbifkunZHJ1abMFSjgoTcieW0Dm5QVkRzouJt1peJpf1z2tN5pVsqrQ8O5zmxuJTPbvgbgET2uB4jPKi2aV,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE4d1LEuV7wYi2CFYrLQWLxucm2HdAErWdivQDtwcA3S-9kTReefIOxAOuG4kCZOE8MB9LgVU5e-T-gWysqEg2-YmYa4nTbXlEzWGDYc3jizgJ-bHdRnre3xgGNisHrcQEpKJVlghaztjZX5lRuj6WwYmLV7zWJ_s4N3tVkCG--tpgUQzJdMCuqBdqBxtH9adayypRqsqigfxu6JfjIXTQ=",,
,Ø127~191mm,"Single
Rail
Corded
-
-
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,Makita LS0714,Makita,1.Benchtop,Single,Rail,190,1010,6000,Corded,-,-,-,good,https://www.makitatools.com/products/details/LS0714,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,KGS 254 i PLUS,Metabo,1.Benchtop,Dual,Rail,254,2200,4500,Corded,Soft Start,Laser,E Brake,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGN9mp0Zz4TYNVy2TCGUPDTKs7J5UCNrfqjhJ-UEnprQtTAnKv9fClSnMr4QzmmY05fhNS4VEk3ydqQFywk4CnuZ_qZWATgBiKTezwNkn3O9XoENGCvBor_0tJK55w75t1_7ykNRKs=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHLO7Fspsaj8mxjDfxQsnhzxnM6Wh8VfgG2_aFLwynXgXY1jmJd70apdSVYgNgUWRd_jai51NwWAN08dVyK__FDfCkt6PMrsXi5E9C0W11p-iwFDvdNJk5Kh-_4iYakfBcI3QXEYIjvmD4BUvf4uQp7Qpr2lzYls1d3GrDGGdk0hHSMpffD_2Q_k0KyF5H9peBx",,
,Ø222~267mm,"Single
Rail
Corded
-
Laser
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,KGS 254 M (NA),Metabo,1.Benchtop,Single,Rail,254,1450,4500,Corded,-,Laser,-,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFTpRcbc36p6O7J_4J4rW7uciJiEuPAPOfxRGNJ84bTycQO_ZwAsA69Ujg2OYDdvwnVshpVG02xH9wBY6cr7nZNmk82tG50Y5z_WQvQYVCtorPujDDtPXPGwnHXPUKgbsurLeJIXOA=,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Shadow",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,Milwaukee 6955-20,Milwaukee,1.Benchtop,Dual,Rail,305,1800,3200,Corded,Soft Start,Shadow,,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHkd-_8VV8j4Nkn1v-ueQP2LDRAZv27I8SryTaQYK2cOtoQjkZMofRx3wc4BNR8ED86AwHzIZ6e0FXt8ke6oDiDT8Myhhl-1hMXAjh1uoevSYfkiMIFlaLmu1u9FgUcQomOG8ZONsG_Ad0EufmjZGeK8FNM6yDoKBdBxPLwgTyWI3aouf_6FNb8ItVU9jgBIzjptA==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE0Dc-q3KXcI9ziQqBdTTsLF3NVpezdhn61V3pibcA4FpB-o4tZ24Z8pPZE4jJEJlXG6y3fs7ERyzVOUo_4IsfLq4nvgwdgMq8HgLDNySt1_8X7GxDqO4l4emvuFgQQb9_Jxgp5mnk=",,
,Ø279~333mm,"Dual
Compound
Corded
Soft Start
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,Milwaukee 6950-20,Milwaukee,1.Benchtop,Dual,Compound,305,1800,3200,Corded,Soft Start,-,E Brake,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH-qX2pofNGDWYZnHF6SZGVPu2Z4sonCmJ9vIeUhaVslIy9dk4VinNMBIC4TIjXg5R9Q0NvcIl8mmYoeT-II92q7aUf4iHmaUzoLXhi0JcVrXA1Z8kB3nFvFXShK3tJGDcghOWBaJ5Cdia-829217d0F0WULOcjpG_WSli3oQ==,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,MS1290LZA,Ridgid,1.Benchtop,Dual,Rail,305,1800,4000,Corded,Soft Start,Laser,,good,https://www.manualslib.com/manual/140232/Ridgid-Ms1290lza.html,,
,Ø222~267mm,"Single
Compound
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,MS1065LZ,Ridgid,1.Benchtop,Single,Compound,254,1800,,Corded,Soft Start,Laser,,good,https://www.manualslib.com/manual/140228/Ridgid-Ms1065lz.html,,
,Ø191~222mm,"Single
Rail
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,HM 80 LXU,Scheppach,1.Benchtop,Single,Rail,210,1500,5000,Corded,,Laser,,good,https://www.manualslib.com/manual/581532/Scheppach-Hm80l.html,,
,Ø222~267mm,"Single
Rail
Corded
Soft Start
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,KGZ 251 SE,Scheppach,1.Benchtop,Single,Rail,254,1800,5000,Corded,Soft Start,-,,good,https://www.manualslib.com/products/Scheppach-Kgz-251-Se-353683.html,,
,Ø191~222mm,"Dual
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2008,HM 80 L,Scheppach,1.Benchtop,Dual,Compound,210,1500,5000,Corded,,-,,good,https://manuals.co.uk/scheppach/hm-80-l-mitre-saw.html,,
,Ø279~333mm,"Dual
Robust Arm
Corded
Soft Start
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,GCM 12 SD,Bosch,1.Benchtop,Dual,Robust Arm,305,1800,3800,Corded,Soft Start,-,E Brake,good,https://www.manualslib.com/manual/356519/Bosch-Gcm-12-Sd.html,,
,Ø191~222mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,KGS 210/2 Profi,Einhell,1.Benchtop,Single,Compound,210,1200,5000,Corded,,-,,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGGE7Je-71EUITZpgRU27AO1OJ-U6O1W1sISRjVb1fJ3KQJFTERmSABRG3u0zannvDA8P8AzEr8bz4u-IX7jnVhUiQr4dGkjCj7g3Akc3-pRe_i3FWZbfN1cl_W94AcsYsOU6dSOOg=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFTb_aILw8FK8mK8ZbpNfV3TdSYg_lBOgLzXgM-0hPga7WyfwKxih7IyLS4JkVLhz-InaReH55P10GKy0CB7zhciCqrMAx5jbyI_1eNupA56yI22qOpOb2MeoYwkGfPP5zzLMirLbMy4x9ERoRasJQ5pJx60EdrwyZo8ZuWbOaNxVHxCDgiY7no_hN0xtimzUutLTb5zDgcFSxBfrX1NxwoUuYFiFMy8UUFTAb4T2F9_w==",,
,Ø222~267mm,"Single
Rail
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,KGSL 250/2,Einhell,1.Benchtop,Single,Rail,250,1800,4800,Corded,,Laser,,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEO0u7fS9e4H41SjoNZ8ZklIwwNNk_SU4oQU4qt6w21YUh_FXwAPF5jBWXiecaC6ZDiqQbXVyPZRXLydtX_8FEqtO5_C9KxSQXwYIPiTPy1kQ258zCpssll4EDCPc3Gx2N8mWdlNWx-EdnOqPuH1UBvXZ_74v3w3G-iAByFGJQnctFe0g==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEpIrGeCc9iD72CrqQRux54jS2g9q5EFfv0vgk5tN-jClTgGK62GEc4E4hL2zH8JYLthrkZgep1UMN3e8t_Hbp1Yjrj7WBjqcqFagEHJAl_z0-_zLA_y7AezPzCCvvIW-nu3CZf9dQG3niiNw==",,
,Ø222~267mm,"Dual
Rail-Front
Corded
Soft Start
Dual laser
E Brake, Speed Ctrl, ",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,Festool Kapex KS 88,Festool,1.Benchtop,Dual,Rail-Front,260,1600,1400-3400,Corded,Soft Start,Dual laser,"E Brake, Speed Ctrl, ",good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG4S1kV0ymC7aAkkz_yBv_5u39PBYlRHa_3NANShkJyTMEDujiFqCew13yzWJtW_bt0ISXN-EBukZZWyoXFcGBKODyIPtH-M7p7bZkLXinZ9zaDkDc4Qgm1c7Q70EKKGmfyLj85ec34fqaZVs5elec_ulWPpSl4TeBMW0PRwlxNrg==,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,C12LSH,MetaboHPT,1.Benchtop,Dual,Rail,305,1850,3800,Corded,Soft Start,Laser,E Brake,good,https://www.manualslib.com/manual/420343/Hitachi-C12rsh-305mm-Slide-Compound-Mitre-Saw.html,,
,Ø191~222mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,C8FSESM,MetaboHPT,1.Benchtop,Dual,Rail,216,1104,5500,Corded,Soft Start,Laser,E Brake,good,https://www.manualslib.com/manual/480208/Hitachi-C-8fse-s.html,,
,Ø222~267mm,"Single
Compound
Corded
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,C10FCH2,MetaboHPT,1.Benchtop,Single,Compound,254,1800,5000,Corded,,Laser,E Brake,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEt0DaeiCnKRhdqx30GOTmanj0KuJWLXpnfjD1Qn0ItjvU6G-913_wJNiJ--v5Iv_ycRxjhB3NcmQh4WdQ7Bm5LaCa6UTe6Odv2QkYlkpEEIVwT2c-dKK_5IpFwwXbla5ifHEdKtmedw-YQepIW_sSKIx9Bg9s6vZYEw_YK_ULk4Wfcbo8pDpuZwWofoW33bxK7-DIsumWWjRqbsclSEE33fmEq,,
